Source Quality Report  (2026-09-24T18:29:12Z)
Total: 20385 proxies, 17714 alive

Source                  Total  Alive  Surv%  Lat(ms)  Spd(MB)   Rep    CN%
--------------------------------------------------------------------------
wentao                     24     24 100.0%       92    63.12    88  83.3%
main                    16777  16550  98.7%      270     2.91    89  88.5%
afr                       293    281  95.9%      381     3.77    86  76.2%
wanwu                      17     16  94.1%      327     1.89    90  68.8%
farel                     543    505  93.0%      324     5.18    90  81.8%
multi                     199     78  39.2%      392     2.04    74  85.9%
wwuyi                     125     40  32.0%      446     9.82    63  62.5%
list                      147     32  21.8%      425     0.08    90 100.0%
ymyuuu                    895    136  15.2%      369        -    87  95.6%
proxyip                   251     17   6.8%      522     0.87     -  88.2%
cmliu                    1114     35   3.1%      282     0.21    87  94.3%
